cat,sample_type,phase,elev_minimum,aspect_average,infiltration_mode,emergence_50,emergence_500,emergence_1k,cent_elev,location,island_size,avg_fetch,viewsize_5k,viewsize_10k
5496,buffer,lm,40.88973618,234.6849556,4,492.5107778,875.6358495,900.0102216,40.88974,island,22900,271.6541811,29478,30440
5497,buffer,lm,21.56611633,49.51385307,3,482.0479071,1622.804488,1707.012162,23.78861,mainland,,158.685775,15301,15326
5498,buffer,lm,27.37423897,168.8615036,2,18.78107934,213.0093525,261.1735634,27.48084,mainland,,21754.00797,51372,214456
5499,buffer,lm,38.68709183,75.51112213,1,75.08740707,1116.065958,1115.498371,38.884,mainland,,226.0087137,22808,22808
5500,buffer,lm,28.40712166,111.9464371,2,265.3887123,942.3473743,1174.245484,28.65252,mainland,,162.6413643,8976,9259
5501,hull,lm,37.98418427,16.43096275,3,385.7958654,1064.518408,1073.55628,39.93735,island,8418800,1498.317222,192246,277026
5502,hull,lm,25.96143532,67.82352676,4,330.8134954,1123.176914,1397.822839,31.59234,island,24200,4896.595229,49996,161306
5503,hull,lm,31.80642891,317.3289566,2,729.0807205,997.9237381,1057.320964,38.31673,island,33000,1030.677956,141853,162475
5504,hull,lm,40.58646393,319.6989594,3,483.8280311,859.5134979,881.5066472,41.28555,island,8077800,1006.991333,86028,176826
5505,hull,lm,21.22745705,271.7065125,4,342.3383862,1733.515092,1751.039648,23.59425,mainland,,223.8227569,18420,26516
5506,hull,lm,32.75056076,155.0546188,2,159.4964823,1105.340474,1201.494235,33.27422,mainland,,86.15362861,9905,9905
5507,hull,lm,36.42232895,95.33459663,2,68.93979453,1193.602123,1199.583302,36.82448,mainland,,285.1223998,27136,94268
5508,hull,lm,39.45332718,167.8163719,2,47.55586189,875.339737,957.1683861,39.53127,mainland,,15236.98393,51734,153946
5509,hull,lm,41.62237167,272.6331558,4,159.9892525,611.7540297,606.9766776,41.62523,island,248100,661.1033086,88235,107078
5510,hull,lm,38.10520554,59.67252254,3,799.9211897,1058.907812,1034.337599,38.92863,mainland,,484.2854868,89091,167190
5511,hull,lm,32.23269653,211.9072235,4,226.2302574,1431.311452,1447.002686,33.91902,mainland,,483.7399649,48087,49045
5512,hull,lm,24.31091309,347.8612518,3,459.5052756,1619.639665,1575.050618,26.97211,mainland,,138.9824958,5937,6174
5513,hull,lm,29.52298355,129.3401642,2,33.25681987,161.3540194,626.4209325,29.52298,mainland,,4765.307072,7714,7776
5514,hull,lm,29.49228477,197.664463,5,93.46411919,1058.895625,1172.630937,30.5584,mainland,,6945.905211,108433,247521
5515,hull,lm,43.38275909,102.5913811,2,277.0308517,603.9316106,639.3585567,43.46009,mainland,,2527.818921,43359,105042
5516,hull,lm,40.18047714,31.78855038,4,873.8516632,964.852433,1029.796644,41.94868,island,214300,125.8047708,6886,6886
5517,hull,lm,23.73579407,209.0143433,4,296.2665125,368.8384834,360.1589464,26.43934,island,14500,3405.493197,35024,81010
5518,hull,lm,26.17074394,251.7170029,3,198.7306239,1457.731973,1476.958596,27.35827,mainland,,719.9963384,80174,128757
5519,hull,lm,36.80771637,72.66244125,2,196.2360858,1111.978065,1262.322968,37.34957,mainland,,1951.481976,46784,106667
5520,hull,lm,43.67647934,273.5037537,4,574.1771296,407.7079313,433.1658494,44.91802,mainland,,378.3168041,49189,82984
5521,hull,lm,38.78714371,343.1258667,2,497.1704099,839.2287335,777.3843162,39.57678,mainland,,242.4268741,35067,35689
5522,hull,lm,31.3014183,176.0054054,2,3.568072176,246.6795852,815.4938618,31.34365,mainland,,8856.671642,126141,465587
5523,hull,lm,30.33776283,77.75157318,2,44.54053398,258.338527,275.5043615,30.607,mainland,,519.1478457,102850,281929
5524,hull,lm,27.21135902,45.84165907,2,127.7782454,1090.244585,1228.79744,28.02782,mainland,,464.3890834,86506,172980
5525,hull,lm,29.57964897,203.5391724,2,33.52834218,145.9888852,429.873422,29.57965,mainland,,86.90886836,94611,255569
5526,hull,lm,26.68754959,133.0302292,2,130.2257585,1436.16164,1231.467762,27.51685,mainland,,427.0853513,32410,33425
